                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    101,                0.33398,                0.38309,                 1.0228,                0.91152,                0.92475,                0.96577,                0.92914,                0.29851,                0.42331,                0.73359,             0.00037774,             0.00037774,             0.00037774
                    102,                0.33467,                0.38094,                  1.021,                 0.9271,                0.91078,                0.96343,                0.93283,                0.28502,                0.42295,                0.71635,             0.00037041,             0.00037041,             0.00037041
                    103,                0.32375,                0.37207,                 1.0218,                  0.932,                0.87473,                0.95036,                0.91341,                0.28923,                0.47649,                0.72498,             0.00036307,             0.00036307,             0.00036307
                    104,                0.33815,                0.38022,                 1.0343,                0.93175,                0.90522,                0.96187,                0.93069,                0.28166,                0.42419,                0.71571,             0.00035574,             0.00035574,             0.00035574
                    105,                0.34542,                0.40047,                 1.0251,                0.88508,                0.91665,                0.95725,                0.92497,                0.29865,                0.47291,                0.73623,             0.00034841,             0.00034841,             0.00034841
                    106,                0.32694,                0.38633,                 1.0229,                0.89203,                0.94609,                 0.9684,                0.93642,                0.27675,                0.40234,                  0.719,             0.00034108,             0.00034108,             0.00034108
                    107,                0.32233,                 0.3836,                 1.0239,                0.92156,                0.90808,                0.96361,                0.93288,                0.28708,                0.42501,                0.73701,             0.00033374,             0.00033374,             0.00033374
                    108,                 0.3237,                0.38283,                 1.0205,                0.93835,                 0.8785,                0.96167,                0.93013,                 0.2947,                0.44867,                0.74309,             0.00032641,             0.00032641,             0.00032641
                    109,                0.31604,                0.37621,                 1.0166,                0.92148,                0.90258,                0.96174,                0.93041,                0.27897,                0.42292,                0.72186,             0.00031908,             0.00031908,             0.00031908
                    110,                0.31474,                0.36904,                 1.0193,                0.89439,                0.90929,                0.95996,                0.92858,                0.28912,                 0.4552,                0.73325,             0.00031175,             0.00031175,             0.00031175
                    111,                    inf,                 0.3812,                 1.0205,                 0.8919,                0.93808,                 0.9564,                0.92349,                0.28999,                0.44146,                0.72873,             0.00030441,             0.00030441,             0.00030441
                    112,                0.31523,                0.36059,                 1.0117,                0.91858,                0.91993,                 0.9671,                 0.9378,                0.27004,                0.41844,                0.71194,             0.00029708,             0.00029708,             0.00029708
